Gene	Phenotype
LOX	HP:0004942,HP:0001724,HP:0100807
PYCR2	HP:0008872,HP:0001263,HP:0008947,HP:0004305,HP:0000252
KCNA2	HP:0001263,HP:0001250
STAG1	HP:0011471,HP:0008935,HP:0001263,HP:0001601
NEB	HP:0001324,HP:0003202
UMOD	HP:0003236,HP:0000790,HP:0000822,HP:0001970
NDUFS4	HP:0001252,HP:0002344,HP:0002878
TIA1	HP:0003457,HP:0001324,HP:0003202
TRRAP	HP:0000286,HP:0001508,HP:0002007,HP:0001263,HP:0000347,HP:0000003,HP:0004482,HP:0001792,HP:0001537,HP:0003762
KIF11	HP:0000717,HP:0000750,HP:0000666,HP:0000752,HP:0000252,HP:0000243
OPA1	HP:0000618,HP:0002141,HP:0001188,HP:0002354,HP:0000648,HP:0001350,HP:0000605
EXOSC3	HP:0012379,HP:0001941,HP:0001272,HP:0002615,HP:0003737,HP:0001319
FA2H	HP:0002500,HP:0002059,HP:0001260,HP:0002141,HP:0001268,HP:0000011,HP:0000648,HP:0001152,HP:0002313,HP:0001621
XPC	HP:0001074,HP:0012056,HP:0000992,HP:0001480
BCL11A	HP:0000750,HP:0005280,HP:0000286,HP:0002123,HP:0002553,HP:0000316,HP:0000294,HP:0000272,HP:0000303,HP:0001270,HP:0001252,HP:0001357,HP:0010465
DDX3X	HP:0011403,HP:0001274,HP:0000248,HP:0011304,HP:0000175,HP:0001305,HP:0001631,HP:0000494,HP:0002280,HP:0000577,HP:0001263,HP:0000564,HP:0000368,HP:0000303,HP:0000410,HP:0000543,HP:0000767,HP:0001773,HP:0100874
THAP1	HP:0004373,HP:0002465
CASR	HP:0002135,HP:0100543,HP:0002465,HP:0002321
CYP11A1	HP:0007018,HP:0000047,HP:0008207
NR2F1	HP:0003220,HP:0001595,HP:0001166,HP:0000490,HP:0001263,HP:0002187,HP:0000400,HP:0000609,HP:0000768,HP:0006970,HP:0001763,HP:0004451,HP:0001250,HP:0004322,HP:0002943
KMT2A	HP:0003270,HP:0002027,HP:0001999,HP:0000718,HP:0012450,HP:0001508,HP:0000540,HP:0000998,HP:0001256,HP:0004789,HP:0000252,HP:0002719,HP:0000407,HP:0004322
GJA1	HP:0004209,HP:0001260,HP:0001298,HP:0007704
SPG7	HP:0001251,HP:0010862,HP:0002075,HP:0010867,HP:0001288
DEGS1	HP:0002007,HP:0001263,HP:0001010,HP:0002352,HP:0000639,HP:0001257
ATM	HP:0009725,HP:0002861,HP:0002894
ASH1L	HP:0000718,HP:0004209,HP:0002015,HP:0008872,HP:0001263,HP:0002360
ACTA1	HP:0003473,HP:0003324,HP:0003198,HP:0003798,HP:0003803
PTPN11	HP:0007018,HP:0000729,HP:0001674,HP:0002263,HP:0005343,HP:0001249,HP:0008551,HP:0004969,HP:0000574
HCFC1	HP:0000483,HP:0007018,HP:0001263,HP:0001252,HP:0012166
PSEN1	HP:0100543,HP:0002506,HP:0001257
FBXO11	HP:0000598,HP:0000378,HP:0001263,HP:0005873,HP:0000508,HP:0001792
FAR1	HP:0000518,HP:0011342,HP:0001250,HP:0001258
TGFBR2	HP:0003549,HP:0001724,HP:0002616
AEBP1	HP:0002829,HP:0000028,HP:0001382,HP:0001097,HP:0001634,HP:0001270,HP:0007414,HP:0001058,HP:0001622
CACNA1A	HP:0000708,HP:0001249,HP:0011342,HP:0001250
SERPINA1	HP:0011024,HP:0002086,HP:0002625,HP:0000958,HP:0001058,HP:0100678,HP:0002204,HP:0002650,HP:0007618,HP:0001038
CYP7B1	HP:0002169,HP:0008366,HP:0001347,HP:0000822,HP:0000821,HP:0001891,HP:0001257
ACTB	HP:0008619,HP:0100543,HP:0001332,HP:0002167
TRPV4	HP:0001903,HP:0002829,HP:0010885,HP:0002650,HP:0004322,HP:0002652,HP:0006150
EP300	HP:0001999,HP:0001317,HP:0007099,HP:0007018,HP:0000708,HP:0001631,HP:0005111,HP:0001347,HP:0011342,HP:0001250,HP:0004322
TUBB4A	HP:0100543,HP:0001260,HP:0002352,HP:0002193,HP:0002313
TRMU	HP:0001707,HP:0010055,HP:0004902,HP:0012664
CLN3	HP:0007018,HP:0001260,HP:0001288,HP:0001263,HP:0100785,HP:0001657,HP:0000572
EBF3	HP:0000015,HP:0000565,HP:0001263,HP:0001252,HP:0000011,HP:0004322
HMGCS2	HP:0001939,HP:0001941,HP:0000483,HP:0002015,HP:0001298,HP:0001263,HP:0001943,HP:0001250,HP:0010535,HP:0002013
SYNGAP1	HP:0000964,HP:0003781,HP:0001263,HP:0001252,HP:0011098
LTBP3	HP:0000705,HP:0004942,HP:0012397,HP:0002631,HP:0005110,HP:0000703,HP:0000540,HP:0001297
ATP1A3	HP:0011443,HP:0100022,HP:0007018,HP:0001332,HP:0002353,HP:0001288,HP:0002123,HP:0001263,HP:0001250,HP:0002401
SIN3A	HP:0000689,HP:0000327,HP:0000736,HP:0000687
ASXL3	HP:0001999,HP:0001263
ACO2	HP:0001251,HP:0007018,HP:0001263,HP:0002721,HP:0000545,HP:0002167
ALDH18A1	HP:0000739,HP:0030084,HP:0000490,HP:0001531,HP:0001263,HP:0002036,HP:0000252,HP:0007240,HP:0000336,HP:0000574
TTN	HP:0001644
ACVR1	HP:0100774,HP:0002196,HP:0009588
MEFV	HP:0002829,HP:0001289,HP:0012378,HP:0100507,HP:0003401,HP:0000988
SLC25A46	HP:0100543,HP:0001298,HP:0007103,HP:0000011,HP:0000639,HP:0001271,HP:0000572
WAC	HP:0009906,HP:0011229,HP:0000750,HP:0001252,HP:0001357,HP:0003474,HP:0011098,HP:0000664,HP:0000430
SLC6A1	HP:0002027,HP:0000077,HP:0001344,HP:0000717,HP:0002608,HP:0000823,HP:0001508,HP:0001263,HP:0001250,HP:0004322
ENPP1	HP:0002829,HP:0002901,HP:0002148,HP:0007470
OCA2	HP:0001022,HP:0002076,HP:0000529,HP:0000407,HP:0005978
CHAT	HP:0003473,HP:0001324
NFKB1	HP:0100658,HP:0005523,HP:0001875,HP:0000967,HP:0001744,HP:0001873
NKX2-1	HP:0002500,HP:0002136,HP:0000965,HP:0002359,HP:0002352,HP:0001270,HP:0009088
GFAP	HP:0002415,HP:0001009,HP:0005978
PIGV	HP:0001545,HP:0410005,HP:0000185,HP:0005280,HP:0007392,HP:0003186,HP:0000637,HP:0000347,HP:0004876
TBX4	HP:0002092,HP:0001643,HP:0002092,HP:0000960,HP:0001629
SETD5	HP:0004691,HP:0002829,HP:0000729,HP:0001156,HP:0000964,HP:0003546,HP:0002007,HP:0001263,HP:0004482,HP:0011003,HP:0011927,HP:0002119
ARSB	HP:0001633,HP:0012393,HP:0002829,HP:0001369,HP:0002099,HP:0000389,HP:0007957,HP:0010648,HP:0000964,HP:0002020,HP:0003881,HP:0009473,HP:0001382,HP:0003401
B4GALNT1	HP:0002921,HP:0001903,HP:0001260,HP:0001288,HP:0001761,HP:0002650,HP:0002313
ANKRD11	HP:0000750,HP:0011471,HP:0001250,HP:0001629
CHD7	HP:0007018,HP:0030021,HP:0000729,HP:0008619,HP:0000268,HP:0000324,HP:0000501,HP:0001263,HP:0000368
SLC12A3	HP:0002028,HP:0002900,HP:0003394,HP:0000112,HP:0030083
TUBA1A	HP:0001274,HP:0001321,HP:0001305,HP:0000565,HP:0001263,HP:0001276,HP:0003186,HP:0100559,HP:0000252,HP:0001252,HP:0001763,HP:0000325
NAA15	HP:0000717,HP:0001263,HP:0001250
DOCK3	HP:0000729,HP:0004209,HP:0002376,HP:0002572,HP:0002007,HP:0001263,HP:0000316,HP:0000256,HP:0002414
GNPTAB	HP:0011912,HP:0000924,HP:0001659,HP:0010722,HP:0004568,HP:0000455,HP:0000957,HP:0000280,HP:0001260,HP:0000286,HP:0003888,HP:0001371,HP:0002020,HP:0001263,HP:0006386,HP:0001249,HP:0002938,HP:0001653,HP:0001634,HP:0000341,HP:0000768,HP:0000629,HP:0000926,HP:0005121,HP:0004322,HP:0008417,HP:0003183
CTCF	HP:0007018,HP:0100280,HP:0000958,HP:0000501,HP:0007441,HP:0001249,HP:0000252,HP:0001252,HP:0001250,HP:0001518,HP:0100859
MECP2	HP:0004691,HP:0007018,HP:0002871,HP:0002194,HP:0001263,HP:0000256,HP:0000403,HP:0011098,HP:0009088
GRIN1	HP:0000549,HP:0012443,HP:0002059,HP:0007266,HP:0002353,HP:0000256,HP:0001252,HP:0011344,HP:0000954
JAK2	HP:0012647,HP:0002863,HP:0004419
PIK3R1	HP:0001999,HP:0000174,HP:0010761,HP:0000475,HP:0000316,HP:0002716,HP:0002167,HP:0000767,HP:0000322,HP:0004322,HP:0000664
CACNA1E	HP:0011448,HP:0100704,HP:0002353,HP:0000293,HP:0001795,HP:0012469,HP:0100807,HP:0001252,HP:0001336,HP:0010543,HP:0012736,HP:0001250
CACNA1F	HP:0001251,HP:0001087,HP:0000639,HP:0009830,HP:0002064,HP:0001257
KDM6A	HP:0000708,HP:0002376,HP:0002353,HP:0006579,HP:0001250
CHD2	HP:0007018,HP:0000750,HP:0002353,HP:0002123
TCF4	HP:0000248,HP:0010761,HP:0000378,HP:0000490,HP:0001263,HP:0000316,HP:0000252,HP:0030223,HP:0000426,HP:0004322
PLA2G6	HP:0001272,HP:0007281,HP:0002015,HP:0002344,HP:0000407
MAP3K7	HP:0000978,HP:0000405,HP:0002194,HP:0000494,HP:0002987,HP:0000218,HP:0000316,HP:0005281,HP:0001373,HP:0001382,HP:0000343,HP:0010810,HP:0001252,HP:0007930,HP:0000448,HP:0000508,HP:0004322,HP:0000535
GABRA1	HP:0000496,HP:0001344,HP:0002059,HP:0001263,HP:0000252,HP:0001252,HP:0001250
ZBTB18	HP:0002099,HP:0007018,HP:0000978,HP:0002194,HP:0000750,HP:0001263,HP:0005620,HP:0001252
RPS6KA3	HP:0007018,HP:0000729,HP:0000750,HP:0002353,HP:0000998
CBL	HP:0012443,HP:0001724,HP:0000978,HP:0002353,HP:0006747,HP:0001263,HP:0001252,HP:0001744
CFTR	HP:0011109,HP:0002094,HP:0002788
POLR3A	HP:0002345,HP:0007344,HP:0002066,HP:0002406,HP:0006895,HP:0002061,HP:0001315
SON	HP:0001999,HP:0000750,HP:0000494,HP:0011968,HP:0001263,HP:0001510,HP:0001943,HP:0001511,HP:0000303,HP:0000189,HP:0000322,HP:0001792,HP:0001537
SETD5	HP:0000750,HP:0001263,HP:0003186,HP:0000252,HP:0000609,HP:0003508,HP:0000954,HP:0001770,HP:0006610
ZC4H2	HP:0001999,HP:0002804,HP:0000455,HP:0004097,HP:0100498,HP:0000316,HP:0000201,HP:0000278,HP:0000431
BRPF1	HP:0001999,HP:0011310,HP:0001263,HP:0001510,HP:0001276,HP:0000821
